date,createdAt,timestamp,context,value
2024-05-13 18:04:50.886000-06:00,1715645090886,1715645090886,{},37.0
2024-05-13 18:04:49.897000-06:00,1715645089897,1715645089897,{},37.0
2024-05-13 18:04:48.849000-06:00,1715645088849,1715645088849,{},37.0
2024-05-13 18:04:47.854000-06:00,1715645087854,1715645087854,{},37.0
2024-05-13 18:04:46.778000-06:00,1715645086778,1715645086778,{},37.0
2024-05-13 18:04:45.729000-06:00,1715645085729,1715645085729,{},36.0
2024-05-13 18:04:44.683000-06:00,1715645084683,1715645084683,{},37.0
2024-05-13 18:04:43.679000-06:00,1715645083679,1715645083679,{},37.0
2024-05-13 18:04:42.624000-06:00,1715645082624,1715645082624,{},37.0
2024-05-13 18:04:41.572000-06:00,1715645081572,1715645081572,{},38.0
2024-05-13 18:04:40.550000-06:00,1715645080550,1715645080550,{},37.0
2024-05-13 18:04:39.520000-06:00,1715645079520,1715645079520,{},37.0
2024-05-13 18:04:38.486000-06:00,1715645078486,1715645078486,{},37.0
2024-05-13 18:04:37.443000-06:00,1715645077443,1715645077443,{},38.0
2024-05-13 18:04:36.393000-06:00,1715645076393,1715645076393,{},37.0
2024-05-13 18:04:35.359000-06:00,1715645075359,1715645075359,{},37.0
2024-05-13 18:04:34.327000-06:00,1715645074327,1715645074327,{},37.0
2024-05-13 18:04:33.283000-06:00,1715645073283,1715645073283,{},37.0
2024-05-13 18:04:32.249000-06:00,1715645072249,1715645072249,{},37.0
2024-05-13 18:04:31.207000-06:00,1715645071207,1715645071207,{},37.0
2024-05-13 18:04:30.164000-06:00,1715645070164,1715645070164,{},37.0
2024-05-13 18:04:29.131000-06:00,1715645069131,1715645069131,{},37.0
2024-05-13 18:04:28.105000-06:00,1715645068105,1715645068105,{},37.0
2024-05-13 18:04:27.073000-06:00,1715645067073,1715645067073,{},36.0
2024-05-13 18:04:26.038000-06:00,1715645066038,1715645066038,{},37.0
2024-05-13 18:04:25.038000-06:00,1715645065038,1715645065038,{},36.0
2024-05-13 18:04:23.949000-06:00,1715645063949,1715645063949,{},37.0
2024-05-13 18:04:22.939000-06:00,1715645062939,1715645062939,{},37.0
2024-05-13 18:04:21.886000-06:00,1715645061886,1715645061886,{},37.0
2024-05-13 18:04:20.844000-06:00,1715645060844,1715645060844,{},37.0
2024-05-13 18:04:19.693000-06:00,1715645059693,1715645059693,{},36.0
2024-05-13 18:04:18.637000-06:00,1715645058637,1715645058637,{},37.0
